created_at,mac,rssi,interface
2022-04-06 12:11:02.510443,D8:01:00:07:6B:5C,-87,ESP32_3
2022-04-06 12:11:02.878679,DC:2C:6E:18:84:EB,-79,ESP32_1
2022-04-06 12:11:06.281502,D8:01:00:07:6B:5C,-76,ESP32_1
2022-04-06 12:11:07.011944,DC:2C:6E:18:84:EB,-92,ESP32_3
2022-04-06 12:11:08.588390,D8:01:00:07:6B:5C,-91,ESP32_7
2022-04-06 12:11:10.273825,D8:01:00:07:6B:5C,-87,ESP32_3
2022-04-06 12:11:11.076371,DC:2C:6E:18:84:EB,-92,ESP32_3
2022-04-06 12:11:11.269517,DC:2C:6E:18:84:EB,-84,ESP32_1
2022-04-06 12:11:11.835124,DC:2C:6E:18:84:EB,-86,ESP32_1
2022-04-06 12:11:12.568158,D8:01:00:07:6B:5C,-78,ESP32_5
2022-04-06 12:11:13.739131,D8:01:00:07:6B:5C,-89,ESP32_6
2022-04-06 12:11:13.826626,D8:01:00:07:6B:5C,-81,ESP32_1
2022-04-06 12:11:14.846170,DC:2C:6E:18:84:EB,-99,ESP32_7
2022-04-06 12:11:15.053724,DC:2C:6E:18:84:EB,-92,ESP32_3
2022-04-06 12:11:15.091251,D8:01:00:07:6B:5C,-91,ESP32_5
2022-04-06 12:11:15.092854,DF:99:1C:50:22:47,-88,ESP32_1
2022-04-06 12:11:15.171199,DF:99:1C:50:22:47,-97,ESP32_3
2022-04-06 12:11:16.117971,DC:2C:6E:18:84:EB,-93,ESP32_3
2022-04-06 12:11:16.640995,D8:01:00:07:6B:5C,-88,ESP32_2
2022-04-06 12:11:18.879704,D8:01:00:07:6B:5C,-95,ESP32_7
2022-04-06 12:11:20.592594,D8:01:00:07:6B:5C,-94,ESP32_3
2022-04-06 12:11:21.556135,D8:01:00:07:6B:5C,-91,ESP32_7
2022-04-06 12:11:21.594988,D8:01:00:07:6B:5C,-90,ESP32_2
2022-04-06 12:11:22.795724,D8:01:00:07:6B:5C,-78,ESP32_1
2022-04-06 12:11:22.992873,D8:01:00:07:6B:5C,-95,ESP32_3
2022-04-06 12:11:24.049232,D8:01:00:07:6B:5C,-88,ESP32_5
2022-04-06 12:11:24.151079,D8:01:00:07:6B:5C,-92,ESP32_7
2022-04-06 12:11:24.160308,D8:01:00:07:6B:5C,-90,ESP32_2
2022-04-06 12:11:24.887594,DC:2C:6E:18:84:EB,-80,ESP32_1
2022-04-06 12:11:25.349017,DF:99:1C:50:22:47,-96,ESP32_5
2022-04-06 12:11:27.904032,DF:99:1C:50:22:47,-92,ESP32_1
2022-04-06 12:11:27.995532,D8:01:00:07:6B:5C,-91,ESP32_7
2022-04-06 12:11:28.886160,DC:2C:6E:18:84:EB,-90,ESP32_1
2022-04-06 12:11:29.299371,D8:01:00:07:6B:5C,-92,ESP32_3
2022-04-06 12:11:31.817522,D8:01:00:07:6B:5C,-88,ESP32_7
2022-04-06 12:11:31.842384,D8:01:00:07:6B:5C,-95,ESP32_5
2022-04-06 12:11:31.852838,DC:2C:6E:18:84:EB,-86,ESP32_7
2022-04-06 12:11:33.048333,DF:99:1C:50:22:47,-92,ESP32_1
2022-04-06 12:11:33.326670,D8:01:00:07:6B:5C,-87,ESP32_3
2022-04-06 12:11:34.365578,D8:01:00:07:6B:5C,-83,ESP32_7
2022-04-06 12:11:35.618705,DF:99:1C:50:22:47,-89,ESP32_7
2022-04-06 12:11:35.909621,DC:2C:6E:18:84:EB,-86,ESP32_7
2022-04-06 12:11:36.828118,DC:2C:6E:18:84:EB,-89,ESP32_7
2022-04-06 12:11:38.363739,DF:99:1C:50:22:47,-92,ESP32_7
2022-04-06 12:11:39.559581,D8:01:00:07:6B:5C,-98,ESP32_3
2022-04-06 12:11:39.867036,DC:2C:6E:18:84:EB,-99,ESP32_7
2022-04-06 12:11:40.836612,D8:01:00:07:6B:5C,-90,ESP32_7
2022-04-06 12:11:40.841335,DC:2C:6E:18:84:EB,-87,ESP32_7
2022-04-06 12:11:40.891812,D8:01:00:07:6B:5C,-98,ESP32_5
2022-04-06 12:11:42.121241,D8:01:00:07:6B:5C,-87,ESP32_1
2022-04-06 12:11:42.322901,D8:01:00:07:6B:5C,-90,ESP32_3
2022-04-06 12:11:42.924768,DC:2C:6E:18:84:EB,-84,ESP32_1
2022-04-06 12:11:44.698221,D8:01:00:07:6B:5C,-83,ESP32_7
2022-04-06 12:11:44.795250,D8:01:00:07:6B:5C,-91,ESP32_2
2022-04-06 12:11:45.890911,DF:99:1C:50:22:47,-96,ESP32_1
2022-04-06 12:11:47.372550,D8:01:00:07:6B:5C,-92,ESP32_7
2022-04-06 12:11:48.824509,DC:2C:6E:18:84:EB,-82,ESP32_7
2022-04-06 12:11:48.855558,D8:01:00:07:6B:5C,-88,ESP32_1
2022-04-06 12:11:49.844090,DC:2C:6E:18:84:EB,-81,ESP32_7
2022-04-06 12:11:49.848618,DC:2C:6E:18:84:EB,-95,ESP32_2
2022-04-06 12:11:49.915826,DC:2C:6E:18:84:EB,-97,ESP32_8
2022-04-06 12:11:51.263443,D8:01:00:07:6B:5C,-83,ESP32_7
2022-04-06 12:11:51.269751,D8:01:00:07:6B:5C,-94,ESP32_5
2022-04-06 12:11:52.309997,D8:01:00:07:6B:5C,-82,ESP32_2
2022-04-06 12:11:53.810890,D8:01:00:07:6B:5C,-89,ESP32_3
2022-04-06 12:11:53.812218,DC:2C:6E:18:84:EB,-81,ESP32_7
2022-04-06 12:11:53.821578,DC:2C:6E:18:84:EB,-97,ESP32_5
2022-04-06 12:11:54.851129,D8:01:00:07:6B:5C,-83,ESP32_7
2022-04-06 12:11:56.178915,DF:99:1C:50:22:47,-90,ESP32_7
