id,id_external,interface,ssid,mac,tx_rate,rx_rate,rx_signal,uptime,packets,bytes,tx_rate_set,created_at
18501658,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,16m14s610ms,"4439,3688","2196818,772042","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:31.926843
18501693,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,24Mbps,-72,12m33s50ms,"448,482","168918,110621","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:41.821288
18501736,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,16m24s600ms,"4439,3696","2196818,772378","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:42.080127
18501795,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,24Mbps,-72,12m43s50ms,"448,482","168918,110621","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:52.045025
18501797,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,16m34s610ms,"4439,3703","2196818,772672","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:19:52.046045
18501840,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,16m44s610ms,"4439,3705","2196818,772756","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:01.839358
18501867,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,12m53s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:01.973298
18501920,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,13m3s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:11.967933
18501919,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,16m54s610ms,"4439,3710","2196818,772966","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:11.971327
18501972,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,17m4s610ms,"4439,3710","2196818,772966","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:21.847589
18501985,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-74,13m13s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:21.909387
18502045,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,13m23s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:31.942024
18502068,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,17m14s610ms,"4439,3713","2196818,773092","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:32.043334
18502107,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,13m33s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:41.911981
18502122,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,17m24s610ms,"4439,3719","2196818,773344","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:42.000289
18502174,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-74,13m43s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:51.876289
18502176,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,17m34s610ms,"4439,3724","2196818,773554","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:20:51.876823
18502253,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,13m53s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:01.880418
18502254,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-66,17m44s610ms,"4439,3728","2196818,773722","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:01.881904
18502331,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,14m3s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:12.132604
18502344,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,17m54s610ms,"4439,3729","2196818,773764","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:12.405222
18502382,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,24Mbps,104Mbps-20MHz/2S,-66,4s790ms,"4,49","782,4372","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:21.948516
18502409,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,14m13s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:22.035784
18502477,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,115.5Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,14m23s50ms,"449,483","170144,110687","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:31.991081
18502479,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,24Mbps,117Mbps-20MHz/2S,-60,14s790ms,"6,62","1268,5396","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:32.003721
18502530,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,24Mbps,117Mbps-20MHz/2S,-64,24s800ms,"12,67","1654,5711","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:42.044779
18502544,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,14m33s50ms,"534,608","197040,188104","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:42.087248
18502601,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,14m43s50ms,"536,609","197205,188201","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:51.977766
18502603,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,24Mbps,117Mbps-20MHz/2S,-65,34s800ms,"12,67","1654,5711","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:21:51.977806
18502661,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,144.4Mbps-20MHz/2S/SGI,78Mbps-20MHz/2S,-70,14m53s50ms,"538,611","198269,188371","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:02.033424
18502671,*223BD,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,24Mbps,26Mbps-20MHz/1S,-65,44s800ms,"19,82","2081,6608","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:22:02.070474
